Id|Comment|Sentiment
0|receiv station charg use charg drop light came decid charg charg last minut simpli stop got brick thousand uah refus return said would send servic center diagnost within day ship expens best case get station open repair even expens|1
1|place order thursday even receiv station alreadi friday recommend seller everyth high qualiti importantli fast import experi use delta year confid order second one real helper nowaday|1
2|order yesterday receiv today realli great station fulli meet specif instal uninterrupt power suppli boiler refriger light went work mountain shoulder recommend seller product|1
3|everyth great sent day|1
4|everyth great use month complaint fast charg mobil use satisfi recommend|1
5|good product prompt deliveri everyth excel|1
6|deliv address deliveri quickli day|0
7|high qualiti item recommend work without complaint|1
8|super good price fast deliveri good servic|1
9|thank seller like everyth|1
10|satisfi station work well make littl nois time time critic wait whole month seller warn worth work home worri outag thank seller sincer recommend|1
11|everyth great|1
12|time use week left half year time use say satisfi model watt enough hour watt hour speed switch tv ps consol also enough up work left fulli charg poet alreadi learn necessari leav least let see work upon arriv|0
13|speed process order qualiti station instruct seller everyth excel comput laptop take hour togeth without heavi game take minut charg mobil thank light weight shape help condit unstabl light schedul|1
14|satisfi work charg station sincer grate viktor profession support qualifi advic|1
15|station use charg gadget turn also pull refriger|0
16|everyth great necessari thing especi winter station help outag|1
17|charg quickli minut show mani hour certain load charg remain larg number especi conveni elderli great design lightweight servic excel call right away support deliveri complet|1
18|order product sunday receiv monday pleasantli surpris fast deliveri|0
19|thank|1
20|seller great sent quickli order januari alreadi deliv januari realli like station work quietli charg quickli hold everyth need held advis everyon|1
21|work great|1
22|thank everyth fine|1
23|order arriv quickli station super|1
24|everyth fine work without complaint best product keep light power outag seller excel alway answer quickli clearli|1
25|thank much seller time deliveri good consult qualiti good order charg station boy nd brigad boy alreadi receiv satisfi|1
26|work great|1
27|teacher great|1
28|good afternoon pleas tell station arriv one power cabl discharg normal come across|1
29|pleasantli surpris devic charg time check right away light devic start boiler without problem also charg quickli hour without light discharg manag fulli charg half hour still work without sound light ecoflo charg light turn fan turn therefor complet satisfi|1
30|good even day ago receiv ecoflow check everyth work boiler also two circuit ren connect socket barrier stabil ecoflow boiler chain turn light boiler work electr light turn plug boiler network problem zero interest work first realli look forward answer|1
31|seller page complet set incorrectli indic charg cabl car becam critic long outag|0
32|test station far everyth fine|1
33|thank much best recommend|1
34|top money|1
35|good day feedback use rozetkaeu servic made order januari even januari courier myst alreadi stand entranc good good hung longer europ cross border myst brought doorstep kyiv day pleasantli surpris charg station arriv nice pack undamag fulli equip regist warranti app without problem wait coupl hour station warm start charg first charg watt next one alreadi pound everyth seem fine|1
